Dataset,Model Answer,Gold Label,Correct
dataset_th,ต้นโอ๊ค,ต้นโอ๊ค,1
dataset_th,ช่องว่าง,ช่องว่าง,1
dataset_th,ช่องว่าง,ผนัง,0
dataset_th,ท่อระบายน้ำ,ท่อระบายน้ำ,1
dataset_th,เส้นผม,เส้นผม,1
dataset_th,การประชุม,การประชุม,1
dataset_th,รถไฟ,รถไฟ,1
dataset_th,เสา,เสา,1
dataset_th,เสา,เวที,0
dataset_th,เสียงตามสาย,เสียงตามสาย,1
dataset_th,รถไฟใต้ดิน,รถไฟใต้ดิน,1
dataset_th,ฝน,คอนเสิร์ต,0
dataset_th,ฝน,ฝน,1
dataset_th,ผ้าขี้ริ้วเก่าๆ,ผ้าขี้ริ้วเก่าๆ,1
dataset_th,ผ้าขี้ริ้วเก่าๆ,มีด,0
dataset_th,มะลิ,มะลิ,1
dataset_th,มะลิ,กระถิน,0
dataset_th,ขวดน้ำ,ขวดน้ำ,1
dataset_th,ขวดน้ำ,กระเป๋า,0
dataset_th,หม้อ,หม้อ,1
dataset_th,หม้อ,ชั้นวาง,0
dataset_th,อาคาร,แผนที่,0
dataset_th,อาคาร,อาคาร,1
dataset_th,ปิติ,ปิติ,1
dataset_th,ปิติ,มานะ,0
dataset_th,ปิติ,ปิติ,1
dataset_th,ปิติ,มานะ,0
dataset_th,สมปอง,สมศักดิ์,0
dataset_th,สมปอง,สมปอง,1
dataset_th,มานะ,มานะ,1
dataset_th,มานะ,ปิติ,0
dataset_th,นักต้มตุ๋น,นักต้มตุ๋น,1
dataset_th,นักต้มตุ๋น,สมรัก,0
dataset_th,สุนัข,สุนัข,1
dataset_th,สุนัข,ที่ใต้ต้นไม้,0
dataset_th,แมว,แมว,1
dataset_th,แมว,หนู,0
dataset_th,บุตรสาวของแก้ว,แก้ว,0
dataset_th,บุตรสาวของแก้ว,บุตรสาวของแก้ว,1
dataset_th,แพร,แพร,1
dataset_th,แพร,ลูกสาวของแพร,0
dataset_th,นพ,นพ,1
dataset_th,นพ,ชายในชุดทหาร,0
dataset_th,หนอน,ปลา,0
dataset_th,ปลา,หนอน,0
dataset_th,หมากฝรั่ง,กุญแจ,0
dataset_th,หมากฝรั่ง,หมากฝรั่ง,1
dataset_th,สุนัข,สุนัข,1
dataset_th,สุนัข,แมว,0
dataset_th,ต้นไม้,ต้นไม้,1
dataset_th,ต้นไม้,หลังคา,0
dataset_th,พนักงาน,ลูกค้า,0
dataset_th,พนักงาน,พนักงาน,1
dataset_th,สมพงษ์,สมพงษ์,1
dataset_th,สมพงษ์,ชายท่านหนึ่ง,0
dataset_th,ธนากร,ธนากร,1
dataset_th,ธนากร,ชายผู้เล่นจักกลิ้ง,0
dataset_th,ภานุ,ภานุ,1
dataset_th,ภานุ,ภูผา,0
dataset_th,ผู้ปกครองของยุ้ย,เอ็มและยุ้ย,0
dataset_th,ผู้ปกครองของยุ้ย,ผู้ปกครองของยุ้ย,1
dataset_th,โดม,โอ๋น,0
dataset_th,โดม,โดม,1
dataset_th,บ้านของตัวเอง,บ้านของตัวเอง,1
dataset_th,บ้านหลังใหม่,บ้านหลังใหม่,1
dataset_th,คน,คน,1
dataset_th,งานประพันธ์ของเจนภพ,งานประพันธ์ของเจนภพ,1
dataset_th,ขลุ่ย,ขลุ่ย,1
dataset_th,เพลง,เพลง,1
dataset_th,เก้าอี้,เก้าอี้,1
dataset_th,เปียโน,เปียโน,1
dataset_th,หนังสือพิมพ์,หนังสือพิมพ์,1
dataset_th,หนังสือพิมพ์,กระเป๋าเป้,0
dataset_th,หนังสือ,หนังสือ,1
dataset_th,หนังสือ,บทความ,0
dataset_th,ธง,ปราสาททราย,0
dataset_th,ธง,ธง,1
dataset_th,อารยา,อารยา,1
dataset_th,อารยา,วีรดา,0
dataset_th,อารยา,อารยา,1
dataset_th,อารยา,วีรดา,0
dataset_th,เฉลิม,เฉลิม,1
dataset_th,เฉลิม,กชกร,0
dataset_th,เส้นทาง,เส้นทาง,1
dataset_th,เส้นทาง,ชลธาร,0
dataset_th,ดวงอาทิตย์,ดวงอาทิตย์,1
dataset_th,ดวงอาทิตย์,เมฆ,0
dataset_th,ทะเลสาบ,ทะเลสาบ,1
dataset_th,ชายหาด,ชายหาด,1
dataset_th,กลุ่มคนเลี้ยงแกะ,กลุ่มคนเลี้ยงแกะ,1
dataset_th,ฝูงแกะ,ฝูงแกะ,1
dataset_th,นุ่น,นุ่น,1
dataset_th,นุ่น,ขิง,0
dataset_th,กระแตและน้ำฝน,กระแตและน้ำฝน,1
dataset_th,กระแตและน้ำฝน,เสื้อคลุม,0
dataset_th,นราวิช,นราวิช,1
dataset_th,นราวิช,ชวัลวิทย์,0
dataset_th,สนทรภู่,สนทรภู่,1
dataset_th,สนทรภู่,อุดม,0
dataset_th,ต้นไม้,ต้นไม้,1
dataset_th,ขวาน,ขวาน,1
dataset_th,กลุ่มจิ้งจอก,กลุ่มจิ้งจอก,1
dataset_th,ไก่,ไก่,1
dataset_th,กลุ่มจิ้งจอก,กลุ่มจิ้งจอก,1
dataset_th,กลุ่มจิ้งจอก,ไก่,0
dataset_th,ตา,ตา,1
dataset_th,มือ,มือ,1
dataset_th,ภัทรียา,ภัทรียา,1
dataset_th,ภัทรา,ภัทรา,1
dataset_th,ดิว,ดิว,1
dataset_th,ดิว,โตโต้,0
dataset_th,เครื่องล้างจาน,เครื่องล้างจาน,1
dataset_th,เครื่องล้างจาน,ทีวี,0
dataset_th,ดิว,ดิว,1
dataset_th,ดิว,ปู่ทวดของฉัน,0
dataset_th,ดิว,ดิว,1
dataset_th,ดิว,พ่อของฉัน,0
dataset_th,ยาคุตสค์,คัมชัตคา,0
dataset_th,ยาคุตสค์,ยาคุตสค์,1
dataset_th,ปลาสร้อย,ปลาสร้อย,1
dataset_th,ปลาฉลาม,เป็ด,0
dataset_th,นักโบราณคดี,นักโบราณคดี,1
dataset_th,นักโบราณคดี,มนุษย์,0
dataset_th,กลุ่มนักวิทยาศาสตร์,กลุ่มนักวิทยาศาสตร์,1
dataset_th,กลุ่มนักวิทยาศาสตร์,ปลา,0
dataset_th,นักแสดงดารา,นักข่าว,0
dataset_th,นักแสดงดารา,นักแสดงดารา,1
dataset_th,ทีมตำรวจ,ทีมตำรวจ,1
dataset_th,สมาชิกแก๊ง,สมาชิกแก๊ง,1
dataset_th,เค้ก,เค้ก,1
dataset_th,เค้ก,ตู้เย็น,0
dataset_th,ข้อเท้า,ข้อเท้า,1
dataset_th,ไม้เท้า,ไม้เท้า,1
dataset_th,ผู้สนับสนุน,ผู้สนับสนุน,1
dataset_th,ผู้สนับสนุน,ผู้ต่อต้าน,0
dataset_th,คุกกี้ข้าวโอ้ต,คุกกี้ข้าวโอ้ต,1
dataset_th,คุกกี้ช็อกโกแลตชิพ,คุกกี้ช็อกโกแลตชิพ,1
dataset_th,ที่นั่ง,จดหมายข่าว,0
dataset_th,จดหมายข่าว,ที่นั่ง,0
dataset_th,เข็มหมุด,เข็มหมุด,1
dataset_th,เข็มหมุด,แครอท,0
dataset_th,กาแฟ,ปากกา,0
dataset_th,ปากกา,กาแฟ,0
dataset_th,เจโรม,เจโรม,1
dataset_th,เจโรม,ฌอน,0
dataset_th,โต๊ะ,โต๊ะ,1
dataset_th,โต๊ะ,ช่องประตู,0
dataset_th,เสื้อคลุม,เสื้อกันหนาว,0
dataset_th,เสื้อคลุม,เสื้อคลุม,1
dataset_th,กวิน,ทนภพ,0
dataset_th,ทนภพ,กวิน,0
dataset_th,ทนภพ,ทนภพ,1
dataset_th,กวิน,กวิน,1
dataset_th,เซนอฟานีส,แซมกู๊ดแมน,0
dataset_th,เซนอฟานีส,เซนอฟานีส,1
dataset_th,แม่ของนิชา,นิชา,0
dataset_th,แม่ของนิชา,แม่ของนิชา,1
dataset_th,อารยา,อารยา,1
dataset_th,อารยา,วีรดา,0
dataset_th,เขตต์,เขตต์,1
dataset_th,เขตต์,นักสืบ,0
dataset_th,เดมี่,เดมี่,1
dataset_th,เดมี่,เนเน่,0
dataset_th,เฉลิม,เฉลิม,1
dataset_th,เฉลิม,พนักงานเสิร์ฟ,0
dataset_th,ไตรภพ,ไตรภพ,1
dataset_th,ไตรภพ,ดิลก,0
dataset_th,วิษุวัต,วิษุวัต,1
dataset_th,วิษุวัต,สุรศักดิ์,0
dataset_th,ดาริน,ณัชชา,0
dataset_th,ดาริน,ดาริน,1
dataset_th,แชมป์,แชมป์,1
dataset_th,แชมป์,ธันวา,0
dataset_th,อิกคิว,อิกคิว,1
dataset_th,อิกคิว,ฟีฟ่า,0
dataset_th,ตะวัน,ตะวัน,1
dataset_th,ตะวัน,กันต์ธี,0
dataset_th,เด็กผู้ชาย,บุรุษ,0
dataset_th,เด็กผู้ชาย,เด็กผู้ชาย,1
dataset_th,หญิงท่านนั้น,หญิงท่านนั้น,1
dataset_th,หญิงท่านนั้น,เด็กสาว,0
dataset_th,กฤษติ,กฤษติ,1
dataset_th,ก๊อปแก๊ป,ก๊อปแก๊ป,1
dataset_th,ธัญพร,อัญชลี,0
dataset_th,ธัญพร,ธัญพร,1
dataset_th,ต้นกล้า,มานะ,0
dataset_th,ต้นกล้า,ต้นกล้า,1
dataset_th,ไตเติ้ล,ไตเติ้ล,1
dataset_th,ไตเติ้ล,ทศพล,0
dataset_th,คุณพ่อ,คุณพ่อ,1
dataset_th,คุณพ่อ,เด็กชาย,0
dataset_th,หญิงท่านนั้น,หญิงท่านนั้น,1
dataset_th,หญิงท่านนั้น,เด็กผู้หญิง,0
dataset_th,ผู้ปกครองมัณฑนา,ผู้ปกครองมัณฑนา,1
dataset_th,ผู้ปกครองมัณฑนา,มัณฑนาและธนศาล,0
dataset_th,นางแพทย์บุษบา,นางแพทย์บุษบา,1
dataset_th,นางแพทย์บุษบา,เกตุ,0
dataset_th,นที,นที,1
dataset_th,นที,ชลลธี,0
dataset_th,สกาย,พีช,0
dataset_th,พีช,สกาย,0
dataset_th,พีช,พีช,1
dataset_th,นานา,นานา,1
dataset_th,นานา,บลู,0
dataset_th,ลูกมะนาว,ลูกมะนาว,1
dataset_th,ต้นมะนาว,ต้นมะนาว,1
dataset_th,ไนท์,ไทม์,0
dataset_th,ไนท์,ไนท์,1
dataset_th,เศรษฐา,เศรษฐา,1
dataset_th,ทักษิณ,ทักษิณ,1
dataset_th,ตาล,นุ่น,0
dataset_th,ตาล,ตาล,1
dataset_th,ปีกผีเสื้อ,ปีกผีเสื้อ,1
dataset_th,หนังสือเล่มหนา,โต๊ะ,0
dataset_th,ครูฝึก,พริ้ม,0
dataset_th,ครูฝึก,ครูฝึก,1
dataset_th,พริ้ม,พริ้ม,1
dataset_th,ครูฝึก,ครูฝึก,1
dataset_th,แพร,พลอย,0
dataset_th,พลอย,แพร,0
dataset_th,เชกสเปียร์,เชกสเปียร์,1
dataset_th,เชกสเปียร์,เกอเธ่,0
dataset_th,เชกสเปียร์,ออวิด,0
dataset_th,เชกสเปียร์,เชกสเปียร์,1
dataset_th,สายป่าน,สายป่าน,1
dataset_th,สายป่าน,ปุ้ย,0
dataset_th,ดอน,ดอน,1
dataset_th,ดอน,ศุภชัย,0
dataset_th,กลุ่มกรรมการ,กลุ่มกรรมการ,1
dataset_th,กลุ่มกรรมการ,แชทบอท,0
dataset_th,Inwza55YO,GrWQWu8JyC,0
dataset_th,Inwza55YO,Inwza55YO,1
dataset_th_exact,สมาชิกสภาเทศบาล,สมาชิกสภาเทศบาล,1
dataset_th_exact,สมาชิกสภาเทศบาล,ผู้ประท้วง,0
dataset_th_exact,กระเป๋าเดินทาง,ถ้วยรางวัล,0
dataset_th_exact,ถ้วยรางวัล,กระเป๋าเดินทาง,0
dataset_th_exact,ซูซาน,โจน,0
dataset_th_exact,ซูซาน,ซูซาน,1
dataset_th_exact,พอล,พอล,1
dataset_th_exact,พอล,จอร์จ,0
dataset_th_exact,ทนายความ,ทนายความ,1
dataset_th_exact,พยาน,พยาน,1
dataset_th_exact,รถบรรทุกส่งของ,รถบรรทุกส่งของ,1
dataset_th_exact,รถโรงเรียน,รถโรงเรียน,1
dataset_th_exact,บิลล์,แฟรงค์,0
dataset_th_exact,บิลล์,บิลล์,1
dataset_th_exact,ชายคนนี้,ชายคนนี้,1
dataset_th_exact,ชายคนนี้,ลูกชาย,0
dataset_th_exact,ลูกบอลขนาดใหญ่,ลูกบอลขนาดใหญ่,1
dataset_th_exact,ลูกบอลขนาดใหญ่,โต๊ะ,0
dataset_th_exact,จอห์น,จอห์น,1
dataset_th_exact,จอห์น,บิลลี่,0
dataset_th_exact,ทอม,ทอม,1
dataset_th_exact,ทอม,เรย์,0
dataset_th_exact,ซู,ซู,1
dataset_th_exact,ซู,แซลลี่,0
dataset_th_exact,ประติมากรรม,ประติมากรรม,1
dataset_th_exact,ประติมากรรม,ชั้นวาง,0
dataset_th_exact,ภาพวาดของแซม,ภาพวาดของแซม,1
dataset_th_exact,ภาพวาดของแซม,ภาพวาดของทีน่า,0
dataset_th_exact,แอนนา,แอนนา,1
dataset_th_exact,แอนนา,ลูซี่,0
dataset_th_exact,เจ้าหน้าที่ดับเพลิง,เจ้าหน้าที่ดับเพลิง,1
dataset_th_exact,เจ้าหน้าที่ดับเพลิง,ตำรวจ,0
dataset_th_exact,ทอม,แฟรงค์,0
dataset_th_exact,ทอม,ทอม,1
dataset_th_exact,จิม,จิม,1
dataset_th_exact,จิม,เควิน,0
dataset_th_exact,กระสอบมันฝรั่ง,กระสอบมันฝรั่ง,1
dataset_th_exact,กระสอบมันฝรั่ง,กระสอบแป้ง,0
dataset_th_exact,พีท,พีท,1
dataset_th_exact,มาร์ติน,มาร์ติน,1
dataset_th_exact,นักเรียนรุ่นน้อง,นักเรียนรุ่นพี่,0
dataset_th_exact,นักเรียนรุ่นน้อง,นักเรียนรุ่นน้อง,1
dataset_th_exact,แก้ว,ขวด,0
dataset_th_exact,แก้ว,แก้ว,1
dataset_th_exact,ซูซาน,ซูซาน,1
dataset_th_exact,ซูซาน,แอนน์,0
dataset_th_exact,ซิด,ซิด,1
dataset_th_exact,ซิด,มาร์ค,0
dataset_th_exact,ซูซาน,ซูซาน,1
dataset_th_exact,แอนน์,แอนน์,1
dataset_th_exact,ลุงของโจ,โจ,0
dataset_th_exact,ลุงของโจ,ลุงของโจ,1
dataset_th_exact,ต้นโอ๊ก,ภาพวาด,0
dataset_th_exact,ภาพวาด,ต้นโอ๊ก,0
dataset_th_exact,ช่องว่าง,ช่องว่าง,1
dataset_th_exact,ช่องว่าง,ผนัง,0
dataset_th_exact,ท่อระบาย,ท่อระบาย,1
dataset_th_exact,ท่อระบายน้ำ,เส้นผม,0
dataset_th_exact,การประชุม,การประชุม,1
dataset_th_exact,การประชุม,รถไฟ,0
dataset_th_exact,เสา,เสา,1
dataset_th_exact,เสา,เวที,0
dataset_th_exact,เขา,เขา,1
dataset_th_exact,เขา,รถไฟใต้ดิน,0
dataset_th_exact,ฝน,คอนเสิร์ต,0
dataset_th_exact,ฝน,ฝน,1
dataset_th_exact,ผ้าขี้ริ้วเก่า,ผ้าขี้ริ้วเก่า,1
dataset_th_exact,ผ้าขี้ริ้วเก่า,มีด,0
dataset_th_exact,แอนน์,แอนน์,1
