qn,label,pronoun,quote,source,text,options,pronoun_loc,quote_loc
67,1,มัน,เก็บมันลงในชั้น,Ernest Davis,ฉันใช้ผ้าขี้ริ้วเก่าๆ ทำความสะอาดมีด แล้วเก็บมันลงในชั้น,['ผ้าขี้ริ้วเก่าๆ' 'มีด'],45,41
68,0,เธอ,เธอลืมไปแล้ว,Ernest Davis,มะลิถามกระถินว่าห้องสมุดปิดกี่โมงเพราะเธอลืมไปแล้ว,['มะลิ' 'กระถิน'],38,38
69,1,เธอ,เธอลืมไปแล้ว,Ernest Davis,มะลิถามกระถินว่าห้องสมุดปิดกี่โมงแต่เธอลืมไปแล้ว,['มะลิ' 'กระถิน'],36,36
70,0,มัน,มันจะได้สะดวก,Ernest Davis,ฉันหยิบขวดน้ำออกจากกระเป๋า มันจะได้สะดวก,['ขวดน้ำ' 'กระเป๋า'],27,27
71,1,มัน,มันจะได้เบาลง,Ernest Davis,ฉันหยิบขวดน้ำออกจากกระเป๋า มันจะได้เบาลง,['ขวดน้ำ' 'กระเป๋า'],27,27
72,0,มัน,มันสูงเกินไป,Ernest Davis,ฉันไม่สามารถวางหม้อไว้บนชั้นวางได้เพราะมันสูงเกินไป,['หม้อ' 'ชั้นวาง'],39,39
73,1,มัน,มันอยู่สูงเกินไป,Ernest Davis,ฉันไม่สามารถวางหม้อไว้บนชั้นวางได้เพราะมันอยู่สูงเกินไป,['หม้อ' 'ชั้นวาง'],39,39
74,0,มัน,มันเป็นสิ่งที่ดีมาก,Ernest Davis,ฉันมั่นใจว่าแผนที่ของฉันจะแสดงอาคารหลังนี้ มันเป็นสิ่งที่ดีมาก,['แผนที่' 'อาคาร'],43,43
75,1,มัน,มันเป็นสิ่งที่ดังมาก,Ernest Davis,ฉันมั่นใจว่าแผนที่ของฉันจะแสดงอาคารหลังนี้ มันเป็นสิ่งที่ดังมาก,['แผนที่' 'อาคาร'],43,43
76,0,เขา,เขามีน้ำใจมาก,Ernest Davis,ปิติจ่ายค่าเทอมมหาวิทยาลัยของมานะ เขามีน้ำใจมาก,['ปิติ' 'มานะ'],34,34
77,1,เขา,เขารู้สึกขอบคุณมาก,Ernest Davis,ปิติจ่ายค่าเทอมมหาวิทยาลัยของมานะ เขารู้สึกขอบคุณมาก,['ปิติ' 'มานะ'],34,34
78,0,เขา,เขาเสียใจมาก,Ernest Davis,ปิติเป็นคนจ่ายค่าเทอมมหาวิทยาลัยของมานะ  แต่ตอนนี้มานะทำราวกับว่ามันไม่เคยเกิดขึ้น เขาเสียใจมาก,['ปิติ' 'มานะ'],83,83
79,1,เขา,เขาเป็นคนอกตัญญูมาก,Ernest Davis,ปิติเป็นคนจ่ายค่าเทอมมหาวิทยาลัยของมานะ  แต่ตอนนี้มานะทำราวกับว่ามันไม่เคยเกิดขึ้น เขาเป็นคนอกตัญญูมาก,['ปิติ' 'มานะ'],83,83
80,0,เขา,เขาคงชนะไปแล้ว,Ernest Davis,สมศักดิ์กำลังเล่นไพ่กับสมปองและนำหน้าไปไกล ถ้าสมปองไม่มือขึ้น เขาคงชนะไปแล้ว,['สมศักดิ์' 'สมปอง'],62,62
81,1,เขา,เขาคงแพ้ไปแล้ว,Ernest Davis,สมศักดิ์กำลังเล่นไพ่กับสมปองและนำหน้าไปไกล ถ้าสมปองไม่มือขึ้น เขาคงแพ้ไปแล้ว,['สมศักดิ์' 'สมปอง'],62,62
82,0,เขา,ป่านนี้เขาคงได้ไปแล้ว,Ernest Davis,มานะไม่สามารถเลิกงานได้จนกว่าปิติจะมาเข้ากะแทนเขา ถ้าปิติออกจากบ้านมาทำงานตรงเวลา ป่านนี้เขาคงได้ไปแล้ว,['มานะ' 'ปิติ'],89,82
83,1,เขา,ป่านนี้เขาคงอยู่ที่นี่แล้ว,Ernest Davis,มานะไม่สามารถเลิกงานได้จนกว่าปิติจะมาเข้ากะแทนเขา ถ้าปิติออกจากบ้านมาทำงานตรงเวลา ป่านนี้เขาคงอยู่ที่นี่แล้ว,['มานะ' 'ปิติ'],89,82
84,0,เขา,เขาคงจะได้เงินมากมาย,Ernest Davis,ถ้านักต้มตุ๋นหลอกสมรักได้สำเร็จ เขาคงจะได้เงินมากมาย,['นักต้มตุ๋น' 'สมรัก'],32,32
85,1,เขา,เขาคงจะสูญเสียเงินไปมากมาย,Ernest Davis,ถ้านักต้มตุ๋นหลอกสมรักได้สำเร็จ เขาคงจะสูญเสียเงินไปมากมาย,['นักต้มตุ๋น' 'สมรัก'],32,32
86,0,มัน,มันร้อน,Ernest Davis,ตอนนั้นเป็นช่วงบ่ายในฤดูร้อน และสุนัขกำลังนั่งอยู่ที่กลางสนาม หลังจากนั้นมันลุกขึ้นและย้ายไปที่ใต้ต้นไม้ เพราะว่ามันร้อน,['สุนัข' 'ที่ใต้ต้นไม้'],113,113
87,1,มัน,มันเย็นกว่า,Ernest Davis,ตอนนั้นเป็นช่วงบ่ายในฤดูร้อน และสุนัขกำลังนั่งอยู่ที่กลางสนาม หลังจากนั้นมันลุกขึ้นและย้ายไปที่ใต้ต้นไม้ เพราะว่ามันเย็นกว่า,['สุนัข' 'ที่ใต้ต้นไม้'],113,113
88,0,มัน,มันใจร้อนเกินไป,Ernest Davis,แมวกำลังนอนเฝ้ารอหนูอยู่ข้างรูหนู แต่มันใจร้อนเกินไป,['แมว' 'หนู'],37,37
89,1,มัน,มันรอบคอบเกินไป,Ernest Davis,แมวกำลังนอนเฝ้ารอหนูอยู่ข้างรูหนู แต่มันรอบคอบเกินไป,['แมว' 'หนู'],37,37
90,0,เธอ,เธอเป็นสตรีที่น่าหลงไหลมาก,Ernest Davis,แก้วให้กำเนิดบุตรสาวเดือนที่แล้ว เธอเป็นสตรีที่น่าหลงไหลมาก,['แก้ว' 'บุตรสาวของแก้ว'],33,33
91,1,เธอ,เธอเป็นทารกที่น่าหลงไหลมาก,Ernest Davis,แก้วให้กำเนิดบุตรสาวเดือนที่แล้ว เธอเป็นทารกที่น่าหลงไหลมาก,['แก้ว' 'บุตรสาวของแก้ว'],33,33
92,0,เธอ,เธอถึงทำตัวแปลก ๆ,Ernest Davis,แพรพยายามอย่างลนลานเพื่อห้ามไม่ให้ลูกสาวของเธอพูดคุยที่งานสังสรรค์ ปล่อยให้พวกเราได้แต่สงสัยว่าทำไมเธอถึงทำตัวแปลก ๆ,['แพร' 'ลูกสาวของแพร'],99,99
93,1,เธอ,เธอถึงทำตัวแปลก ๆ,Ernest Davis,แพรพยายามอย่างลนลานเพื่อห้ามไม่ให้ลูกสาวของเธอส่งเสียงดังที่งานสังสรรค์ ปล่อยให้พวกเราได้แต่สงสัยว่าทำไมเธอถึงทำตัวแปลก ๆ,['แพร' 'ลูกสาวของแพร'],104,104
94,0,เขา,ทำไมเขาถึงเป็นอย่างงั้น,Ernest Davis,ฉันเห็นนพตะคอกใส่ชายหนวดแดงในชุดทหาร ฉันไม่รู้ว่าทำไมเขาถึงเป็นอย่างงั้น เขาดูไม่พอใจอย่างมาก,['นพ' 'ชายในชุดทหาร'],53,49
95,1,เขา,เขาเป็นใคร,Ernest Davis,ฉันเห็นนพตะคอกใส่ชายหนวดแดงในชุดทหาร ฉันไม่รู้ว่าเขาเป็นใคร แต่เขาดูไม่พอใจอย่างมาก,['นพ' 'ชายในชุดทหาร'],49,49
96,0,มัน,มันหิว,Ernest Davis,ปลากินหนอน มันหิว,['ปลา' 'หนอน'],11,11
97,1,มัน,มันรสชาติดี,Ernest Davis,ปลากินหนอน มันรสชาติดี,['ปลา' 'หนอน'],11,11
98,0,มัน,ฉันเลยไม่สามารถนำมันเข้าไปได้,Ernest Davis,ฉันพยายามปลดล็อกด้วยกุญแจ แต่มีคนนำหมากฝรั่งมาอุดในช่องกุญแจ ฉันเลยไม่สามารถนำมันเข้าไปได้,['กุญแจ' 'หมากฝรั่ง'],78,61
99,1,มัน,ฉันเลยไม่สามารถนำมันออกมาได้,Ernest Davis,ฉันพยายามปลดล็อกด้วยกุญแจ แต่มีคนนำหมากฝรั่งมาอุดในช่องกุญแจ ฉันเลยไม่สามารถนำมันออกมาได้,['กุญแจ' 'หมากฝรั่ง'],78,61
100,0,มัน,มันเฝ้ารออยู่ข้างล่าง,Ernest Davis,สุนัขไล่ตามแมวที่วิ่งขึ้นไปบนต้นไม้ มันเฝ้ารออยู่ข้างล่าง,['สุนัข' 'แมว'],36,36
101,1,มัน,มันเฝ้ารออยู่ข้างบน,Ernest Davis,สุนัขไล่ตามแมวที่วิ่งขึ้นไปบนต้นไม้ มันเฝ้ารออยู่ข้างบน,['สุนัข' 'แมว'],36,36
102,0,มัน,ต้องนำมันออกไป,Ernest Davis,ระหว่างพายุเข้า มีต้นไม้โค่นลงมาทะลุหลังคาบ้านของฉัน ตอนนี้ฉันจำเป็นต้องนำมันออกไป,['ต้นไม้' 'หลังคา'],74,68
103,1,มัน,ต้องซ่อมมัน,Ernest Davis,ระหว่างพายุเข้า มีต้นไม้โค่นลงมาทะลุหลังคาบ้านของฉัน ตอนนี้ฉันจำเป็นต้องซ่อมมัน,['ต้นไม้' 'หลังคา'],76,68
104,0,เขา,เขาถูกนำตัวส่งสถานีตำรวจทันที,Ernest Davis,ลูกค้าเดินเข้าไปในธนาคารและแทงพนักงานท่านหนึ่ง เขาถูกนำตัวส่งสถานีตำรวจทันที,['ลูกค้า' 'พนักงาน'],47,47
105,1,เขา,เขาถูกนำตัวส่งโรงพยาบาลทันที,Ernest Davis,ลูกค้าเดินเข้าไปในธนาคารและแทงพนักงานท่านหนึ่ง เขาถูกนำตัวส่งโรงพยาบาลทันที,['ลูกค้า' 'พนักงาน'],47,47
106,0,เขา,เขารำคาญใจมาก,Ernest Davis,สมพงษ์กำลังทำงานวิจัยอยู่ในห้องสมุด ในขณะที่เขาได้ยินชายทานหนึ่งผิวปากและฮัมเพลง เขารำคาญใจมาก,['สมพงษ์' 'ชายท่านหนึ่ง'],81,81
107,1,เขา,เขาน่ารำคาญมาก,Ernest Davis,สมพงษ์กำลังทำงานวิจัยอยู่ในห้องสมุด ในขณะที่เขาได้ยินชายทานหนึ่งผิวปากและฮัมเพลง เขาน่ารำคาญมาก,['สมพงษ์' 'ชายท่านหนึ่ง'],81,81
108,0,เขา,เขาประทับใจมาก,Ernest Davis,ธนากรกำลังวิ่งภายในสวน ในขณะที่เขาเห็นชายท่านหนึ่งเล่นจักกลิ้งด้วยแตงโม เขาประทับใจมาก,['ธนากร' 'ชายผู้เล่นจักกลิ้ง'],72,72
109,1,เขา,เขาน่าทึ่งมาก,Ernest Davis,ธนากรกำลังวิ่งภายในสวน ในขณะที่เขาเห็นชายท่านหนึ่งเล่นจักกลิ้งด้วยแตงโม เขาน่าทึ่งมาก,['ธนากร' 'ชายผู้เล่นจักกลิ้ง'],72,72
110,0,เขา,เขาไม่สบายอย่างมาก,Ernest Davis,ภานุทรุดลงบนบาทวิถี ในไม่ช้าเขาพบภูผากำลังมาช่วย เขาไม่สบายอย่างมาก,['ภานุ' 'ภูผา'],49,49
111,1,เขา,เขากังวลมาก,Ernest Davis,ภานุทรุดลงบนบาทวิถี ในไม่ช้าเขาพบภูผากำลังมาช่วย เขากังวลมาก,['ภานุ' 'ภูผา'],49,49
112,0,พวกเขา,พวกเขาอายุสิบห้า,Ernest Davis,เอ็มและยุ้ยมีความรักต่อกันและกัน แต่ผู้ปกครองของยุ้ยไม่ยินดีด้วย เพราะพวกเขาอายุสิบห้า,['เอ็มและยุ้ย' 'ผู้ปกครองของยุ้ย'],70,70
113,1,พวกเขา,พวกเขาเป็นคนหัวสูง,Ernest Davis,เอ็มและยุ้ยมีความรักต่อกันและกัน แต่ผู้ปกครองของยุ้ยไม่ยินดีด้วย เพราะพวกเขาเป็นคนหัวสูง,['เอ็มและยุ้ย' 'ผู้ปกครองของยุ้ย'],70,70
114,0,เขา,เขาควรจะซื่อตรงมากกว่านี้,Ernest Davis,โอ๋นโกหกโดมหลายอย่างเกี่ยวกับตัวเอง ซึ่งโดมก็กล่าวถึงในหนังสือของเขา เขาควรจะซื่อตรงมากกว่านี้,['โอ๋น' 'โดม'],69,69
